OBJECTID,LAD17CD,LAD17NM,LAD17NMW,BNG_E,BNG_N,LONG,LAT,Shape_Leng,Shape__Area,Shape__Length
191,E07000168,Scarborough, ,495797,495547,-0.5278,54.3465,217819.108608,817837261.852234,217819.108608402
192,E07000169,Selby, ,457551,426670,-1.12908,53.7333,247578.952235,598399824.498672,247578.952234924
193,E07000170,Ashfield, ,450035,355843,-1.25422,53.0975,61286.5319138,110122768.281967,61286.5319138314
194,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.356,146403.782642,637306417.854767,146403.782641527
195,E07000172,Broxtowe, ,449829,341893,-1.25944,52.9721,56576.4559395,80722192.5860748,56576.4559395496
196,E07000173,Gedling, ,459184,347811,-1.11907,53.0243,63014.3612002,119880203.61554,63014.3612001699
197,E07000174,Mansfield, ,455047,363637,-1.17804,53.167,47192.9020779,76060649.9958801,47192.9020779396
198,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,173614.737535,651088251.149918,173614.737535485
199,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.9124,111749.124772,408877959.430145,111749.124771953
200,E07000177,Cherwell, ,449301,221201,-1.28506,51.8872,198883.837968,587735565.524254,198883.83796837
201,E07000178,Oxford, ,452277,206368,-1.24405,51.7536,31762.5797919,45411144.6114731,31762.5797918697
202,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.6229,183733.003778,679081422.98645,183733.003777772
203,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.6544,153766.523983,579879108.010612,153766.523982779
204,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.8399,141044.632507,714319032.605659,141044.632506749
205,E07000187,Mendip, ,362238,144090,-2.54178,51.1948,177034.376141,739464203.503799,177034.376140972
206,E07000188,Sedgemoor, ,338426,143997,-2.88251,51.1918,220310.631897,563905912.849911,220310.631897216
207,E07000189,South Somerset, ,345633,120798,-2.77588,50.984,210752.745257,958381173.308138,210752.745257349
208,E07000190,Taunton Deane, ,318327,123470,-3.16542,51.0048,158646.575764,463020551.979702,158646.575764491
209,E07000191,West Somerset, ,294768,136702,-3.50494,51.1199,162090.308158,728281396.955238,162090.308158264
210,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.7017,45738.2363606,78903110.016777,45738.2363606163
211,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.8365,156661.607878,390185964.92131,156661.607877634
212,E07000194,Lichfield, ,416283,310967,-1.76049,52.6962,112606.961741,331570250.289505,112606.961741181
213,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.0034,93484.5467698,211448800.343544,93484.5467698256
214,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.6969,165642.635222,407906940.38633,165642.635221619
215,E07000197,Stafford, ,389001,327836,-2.16475,52.8479,140309.284453,597946208.779099,140309.28445322
216,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.0692,128258.45854,577099803.238419,128258.458539668
217,E07000199,Tamworth, ,421455,302550,-1.68451,52.6203,27862.885819,31059261.8939438,27862.885819003
218,E07000200,Babergh, ,599994,244657,0.916231,52.0642,156130.734054,595676143.65625,156130.734054475
219,E07000201,Forest Heath, ,572316,273586,0.527606,52.3333,133731.54079,377737215.582123,133731.540790013
220,E07000202,Ipswich, ,616954,244670,1.16327,52.0579,38719.5329686,39271747.2340851,38719.532968589
221,E07000203,Mid Suffolk, ,611646,262338,1.09695,52.2186,169944.642873,869544744.701584,169944.642873419
222,E07000204,St Edmundsbury, ,582672,265927,0.675273,52.2612,178214.652637,657477244.270493,178214.652636673
223,E07000205,Suffolk Coastal, ,633247,258767,1.41014,52.1778,323968.583718,892248384.065598,323968.583717593
224,E07000206,Waveney, ,642301,287890,1.56324,52.4352,132926.082182,368595686.324387,132926.082181887
225,E07000207,Elmbridge, ,511882,163658,-0.39441,51.361,45986.2236205,96235543.2006378,45986.2236204505
226,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.3395,26547.7474467,34143458.8279114,26547.7474467474
227,E07000209,Guildford, ,500408,151481,-0.56257,51.2537,110501.20045,271688112.134987,110501.200449964
228,E07000210,Mole Valley, ,518377,148953,-0.30603,51.2275,91855.5329921,257592735.588753,91855.5329920803
229,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.2585,68378.7861947,128936608.266151,68378.7861946898
230,E07000212,Runnymede, ,501777,166979,-0.53855,51.3927,41158.2649781,78143648.8538895,41158.2649781487
231,E07000213,Spelthorne, ,507012,169622,-0.46254,51.4155,38841.2266902,50580779.1252441,38841.2266902414
232,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.3361,48570.9032597,95166678.3101349,48570.9032597365
233,E07000215,Tandridge, ,536365,150325,-0.04805,51.2358,74506.5826353,248717822.695686,74506.5826353422
234,E07000216,Waverley, ,496363,140635,-0.62343,51.1569,109509.604071,345213515.415001,109509.604070953
235,E07000217,Woking, ,499087,157542,-0.57982,51.3084,44242.0557672,63690359.1611252,44242.0557671688
236,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.5648,102775.091929,284001010.620972,102775.091928726
237,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.5009,43224.454722,78202229.3600769,43224.4547220268
238,E07000220,Rugby, ,446498,276244,-1.31828,52.3823,100953.478513,353504305.169281,100953.478512613
239,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.1615,230990.37933,977629048.375351,230990.379330137
240,E07000222,Warwick, ,428484,267113,-1.58369,52.3014,100695.184574,283629170.39164,100695.184573761
241,E07000223,Adur, ,518065,106473,-0.32433,50.8457,49595.4165796,42495170.115921,49595.4165795553
242,E07000224,Arun, ,495145,105724,-0.64998,50.8432,139606.791612,220976164.556599,139606.791612076
243,E07000225,Chichester, ,490285,116600,-0.7163,50.9418,203983.461742,786357379.066669,203983.46174175
244,E07000226,Crawley, ,526390,137581,-0.19533,51.1236,35366.1758889,44889154.5795212,35366.1758888844
245,E07000227,Horsham, ,513676,123839,-0.38123,51.0027,188845.31767,529448939.650539,188845.31767035
246,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.0595,118250.071051,333548353.176666,118250.071050649
247,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,26393.2942723,32450857.2203178,26393.29427234
248,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.3617,98906.3193104,216624310.195763,98906.3193103847
249,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.1676,203066.777427,578540906.123611,203066.777427183
250,E07000236,Redditch, ,403705,265253,-1.9471,52.2854,35900.8577328,54543096.2378769,35900.8577328153
251,E07000237,Worcester, ,385725,255196,-2.21025,52.1948,26817.0818531,33259846.2772598,26817.0818530793
252,E07000238,Wychavon, ,398991,247839,-2.01614,52.1289,197911.074216,662645874.55706,197911.074215817
253,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,88570.0346278,196074415.740463,88570.034627753
254,E07000240,St Albans, ,514580,209623,-0.3407,51.7736,67429.0172589,161965216.979515,67429.0172588877
255,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.7609,74691.599563,129829162.463234,74691.5995629908
256,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8648,120364.434807,475592256.772079,120364.434807368
257,E07000243,Stevenage, ,524622,224531,-0.18987,51.9054,24591.7819605,26109583.6790848,24591.7819605274
258,E08000001,Bolton, ,368352,409873,-2.47952,53.5845,69914.9954074,140450379.844437,69914.9954073846
259,E08000002,Bury, ,379658,410768,-2.3088,53.5931,61199.2596835,99911697.1965942,61199.2596834717
260,E08000003,Manchester, ,384591,397063,-2.23359,53.4701,74661.6643576,116221322.116974,74661.6643576446
261,E08000004,Oldham, ,396603,406784,-2.05274,53.5577,64355.083334,141952606.070297,64355.0833339817
262,E08000005,Rochdale, ,390315,412326,-2.14784,53.6074,75169.1118872,158454187.19371,75169.1118871831
263,E08000006,Salford, ,374556,398128,-2.38485,53.4793,58966.8638056,96695812.2081299,58966.8638055931
264,E08000007,Stockport, ,391806,388264,-2.12467,53.3912,61371.1254049,126028500.919067,61371.125404888
265,E08000008,Tameside, ,394987,397995,-2.077,53.4787,47344.5414597,102909524.048782,47344.5414597417
266,E08000009,Trafford, ,375790,391162,-2.36572,53.4167,53821.510148,105982476.231903,53821.5101480048
267,E08000010,Wigan, ,362136,402126,-2.57247,53.5145,76868.1245906,187291441.556152,76868.1245905884
268,E08000011,Knowsley, ,344762,393778,-2.83297,53.4379,62864.0565125,87529937.4053879,62864.0565125136
269,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,56866.5452347,110931228.417389,56866.5452346787
270,E08000013,St. Helens, ,353412,395992,-2.7031,53.4586,68703.0489147,135492884.479279,68703.0489146878
271,E08000014,Sefton, ,334264,398832,-2.99204,53.4821,104176.24579,154686071.802971,104176.245789903
272,E08000015,Wirral, ,329242,386937,-3.06502,53.3745,65208.0728811,157561857.431923,65208.0728811128
273,E08000016,Barnsley, ,429979,403327,-1.54925,53.5258,114050.609088,328398334.924332,114050.609088065
274,E08000017,Doncaster, ,459167,403735,-1.10894,53.527,159039.731851,568022007.957291,159039.73185143
275,E08000018,Rotherham, ,447542,388980,-1.28651,53.3955,95511.3613372,287359022.116882,95511.361337184
276,E08000019,Sheffield, ,430511,389736,-1.54254,53.4036,119995.310851,367498075.438492,119995.310850816
277,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021,60549.4405561,113285417.143463,60549.4405560875
278,E08000022,North Tyneside, ,431471,570602,-1.50923,55.029,56737.9808362,82161897.9828339,56737.9808361621
279,E08000023,South Tyneside, ,435503,564057,-1.44696,54.9699,42624.420368,64461945.1439819,42624.4203680002
280,E08000024,Sunderland, ,436470,551525,-1.43344,54.8572,89859.5173429,138219244.2789,89859.5173429142
281,E08000025,Birmingham, ,408150,287352,-1.88141,52.484,94162.9352774,267423283.708725,94162.9352773717
282,E08000026,Coventry, ,432807,279689,-1.51908,52.4142,47802.5240659,98298724.6712875,47802.5240659226
283,E08000027,Dudley, ,393191,288584,-2.10171,52.4951,64475.8869837,97283398.2667847,64475.8869836939
284,E08000028,Sandwell, ,399573,290764,-2.00771,52.5148,51734.4771627,85270650.6713486,51734.4771626969
285,E08000029,Solihull, ,419434,281483,-1.71558,52.431,88779.9290781,178367378.909401,88779.9290781186
286,E08000030,Walsall, ,402098,300804,-1.97044,52.605,53047.4776833,104837483.753204,53047.4776832665
287,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.5979,46799.8619492,69377247.7869797,46799.861949213
288,E08000032,Bradford, ,408395,438626,-1.87389,53.8438,122330.93702,367283743.121277,122330.937019926
289,E08000033,Calderdale, ,402617,424896,-1.96182,53.7205,98956.3270317,363640711.512634,98956.3270317398
290,E08000034,Kirklees, ,414586,416223,-1.78085,53.6423,111671.163462,408736002.269531,111671.163462017
291,E08000035,Leeds, ,432528,436384,-1.50736,53.8227,143058.543716,551441195.953934,143058.543715902
292,E08000036,Wakefield, ,438366,418235,-1.42092,53.6592,97037.3568009,339430808.528442,97037.3568008529
293,E08000037,Gateshead, ,420168,559658,-1.6868,54.9312,78594.3427868,141312344.134735,78594.3427868065
294,E09000001,City of London, ,532382,181358,-0.09351,51.5156,7725.85588549,2931632.75957489,7725.855885488
295,E09000002,Barking and Dagenham, ,547759,185107,0.129506,51.5455,36181.1159702,36022975.2598267,36181.1159702036
296,E09000003,Barnet, ,523472,191753,-0.21821,51.6111,44364.6316738,86960293.4354782,44364.6316737954
297,E09000004,Bexley, ,549202,175433,0.146212,51.4582,39385.290008,60661689.3777237,39385.2900079738
298,E09000005,Brent, ,519615,186468,-0.27568,51.5644,35111.8323429,43362537.1094818,35111.8323429192
299,E09000006,Bromley, ,542036,165708,0.039246,51.3727,67571.1102355,149735556.460175,67571.1102355328
300,E09000007,Camden, ,527492,184284,-0.16289,51.5431,23418.7868744,21312899.7596207,23418.7868744029
301,E09000008,Croydon, ,533922,164745,-0.07761,51.366,51255.9282646,86964656.0441513,51255.9282645658
302,E09000009,Ealing, ,517057,181960,-0.31407,51.5244,42970.3068139,55404782.5865555,42970.306813915
303,E09000010,Enfield, ,532829,196197,-0.08147,51.6489,38674.0341639,82368063.3825378,38674.034163911
304,E09000011,Greenwich, ,542508,175881,0.050108,51.464,41867.5408471,47229692.7774353,41867.5408471342
305,E09000012,Hackney, ,534560,185787,-0.06045,51.5549,23103.9499749,19194973.3109894,23103.9499748792
306,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.4874,21672.5187792,16106869.8307877,21672.5187791641
307,E09000014,Haringey, ,531262,189349,-0.10667,51.5877,26410.1538332,29982504.0761108,26410.153833157
308,E09000015,Harrow, ,515356,189736,-0.33603,51.5947,31799.6643639,50479360.2701035,31799.6643638925
309,E09000016,Havering, ,555032,187514,0.235368,51.5652,58149.9182695,112555873.992393,58149.9182694669
310,E09000017,Hillingdon, ,508166,183120,-0.44182,51.5366,57368.1270475,115959959.508369,57368.1270474862
311,E09000018,Hounslow, ,512744,174965,-0.37844,51.4624,53472.7653557,56325589.7742004,53472.7653556732
312,E09000019,Islington, ,531158,184647,-0.10992,51.5455,18960.9194004,15056945.1977692,18960.9194003914
313,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.4964,18933.3238693,12041599.3153687,18933.32386929
314,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.393,34497.9076095,37290006.6051025,34497.907609544
315,E09000022,Lambeth, ,531118,175626,-0.11385,51.4644,30887.3369948,26585371.9243164,30887.3369948328
316,E09000023,Lewisham, ,537889,173344,-0.01733,51.4423,34199.8082982,35545231.0186768,34199.8082982071
317,E09000024,Merton, ,526069,169507,-0.18867,51.4106,29195.0583618,37378437.7459717,29195.0583618158
318,E09000025,Newham, ,540721,183327,0.027369,51.5313,29968.8391613,36318913.2408752,29968.8391612501
319,E09000026,Redbridge, ,543512,189478,0.070085,51.5859,43809.6501629,56161098.5689621,43809.6501629439
320,E09000027,Richmond upon Thames, ,519005,172648,-0.28914,51.4403,61280.4902345,56534906.8980103,61280.4902344908
321,E09000028,Southwark, ,533945,175863,-0.07309,51.4659,30517.5865512,28463351.4389572,30517.5865512364
322,E09000029,Sutton, ,527356,163640,-0.17227,51.3576,35049.613686,44257664.9433365,35049.6136860232
323,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.5155,24285.4754044,19630203.718399,24285.4754043994
324,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.5946,29759.443137,38925075.1026154,29759.44313702
325,E09000032,Wandsworth, ,525152,174137,-0.20021,51.4524,34750.0467398,34656911.397995,34750.0467398245
326,E09000033,Westminster, ,528268,180871,-0.15295,51.5122,24224.2941566,21545052.9584656,24224.2941566031
327,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.1472,83429.5369371,159146851.902985,83429.5369370808
328,S12000006,Dumfries and Galloway, ,270645,579857,-4.02863,55.0962,872025.95166,6436952763.22585,872025.95165951
329,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.4967,298578.04046,1271310649.61728,298578.040460131
330,S12000010,East Lothian, ,354854,672351,-2.72435,55.9421,167371.814763,680054815.04808,167371.81476332
331,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.7487,82396.6115326,173649382.194855,82396.6115326186
332,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.1994,2561787.44126,3076661580.882,2561787.44125923
333,S12000014,Falkirk, ,289661,679536,-3.7706,55.996,127171.837926,296585020.028931,127171.837925791
334,S12000015,Fife, ,339197,704726,-2.98235,56.2312,287454.958633,1325726284.3791,287454.958633448
335,S12000017,Highland, ,241026,858306,-4.66091,57.5867,3915067.61286,26158972835.3141,3915067.61285872
336,S12000018,Inverclyde, ,227922,670899,-4.75387,55.9003,66917.5534079,161924862.77562,66917.5534079131
337,S12000019,Midlothian, ,330088,659217,-3.11738,55.8211,116951.032058,354636068.384644,116951.032057764
338,S12000020,Moray, ,328024,843593,-3.20187,57.4768,377747.760607,2239285697.71016,377747.760607205
339,S12000021,North Ayrshire, ,228984,651640,-4.72479,55.7279,306101.975383,884166110.945099,306101.97538264
340,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.9433,941640.105674,1011840338.66261,941640.105673529
341,S12000024,Perth and Kinross, ,284304,744186,-3.8848,56.5753,571716.337272,5381847733.66455,571716.337272446
342,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.5259,457824.987687,4740833564.10889,457824.987687192
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.505,1580576.91647,1460964430.19156,1580576.91647339
344,S12000028,South Ayrshire, ,226544,596270,-4.72901,55.2301,277189.242289,1225170662.93766,277189.242288563
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.6045,260573.181389,1774961252.65216,260573.181389403
346,S12000030,Stirling, ,255980,708769,-4.32595,56.2495,313580.313339,2254986152.13884,313580.313339488
347,S12000033,Aberdeen City, ,387763,808478,-2.20398,57.167,105695.367994,185303457.824799,105695.367993828
348,S12000034,Aberdeenshire, ,352286,816276,-2.79205,57.2347,640200.648953,6316964842.15564,640200.648952689
349,S12000035,Argyll and Bute, ,200740,715442,-5.22114,56.2894,2797073.45756,6998303864.65684,2797073.4575594
350,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.9112,96587.609833,263761149.590881,96587.6098329532
351,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.8486,115812.195438,261248631.71434,115812.195437619
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074,56.0014,84943.2370541,177124318.937286,84943.2370540556
353,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,121039.867758,429686691.332275,121039.86775804
354,S12000041,Angus, ,345518,759594,-2.89189,56.7248,282741.388284,2185760576.00351,282741.388283753
355,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,43021.2673746,59602818.770752,43021.2673746114
356,S12000044,North Lanarkshire, ,277984,665608,-3.9514,55.8681,147819.475137,471676031.349167,147819.475136865
357,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.9583,90453.2632713,174567457.659515,90453.2632712569
358,S12000046,Glasgow City, ,261534,667033,-4.21479,55.8765,119380.026793,175404201.289581,119380.026792607
359,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32291,53.2794,263233.092251,714357155.693565,263233.092251166
360,W06000002,Gwynedd,Gwynedd,277968,334967,-3.81559,52.8983,500045.150536,2550297143.18099,500045.150535639
361,W06000003,Conwy,Conwy,283293,362562,-3.74646,53.1474,248282.799923,1130170464.17796,248282.79992269
362,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.0883,207778.795153,837198528.744629,207778.795152985
363,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17605,53.215,172353.646953,437015285.956902,172353.64695288
364,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.0017,167134.551969,503283824.509361,167134.551969239
365,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94994,52.298,316219.341443,1790753141.29597,316219.341442764
366,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818,51.8551,510150.98659,1618106730.45835,510150.986589513
367,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.895,424772.632616,2369247455.16468,424772.632616457
368,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.6581,194168.141929,377551724.441006,194168.141928518
369,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,151415.514398,442941716.687874,151415.51439843
370,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.5606,80945.9693434,250445560.808392,80945.9693434077
371,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803,51.4484,96531.8522899,331992058.207813,96531.8522899353
372,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212,51.5025,67765.5389253,141940263.487091,67765.5389252885
373,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.6218,117003.817396,422982118.295296,117003.817396332
374,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65,103287.144313,278104395.750095,103287.144313065
375,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.7536,60985.9477326,109017968.067089,60985.9477326281
376,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.6984,72625.005025,126202187.577755,72625.0050249774
377,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.7783,197455.256702,849156684.709312,197455.256701584
378,W06000022,Newport,Casnewydd,337897,187433,-2.89769,51.5823,131702.953298,189961119.461189,131702.953298317
379,W06000023,Powys,Powys,302328,273254,-3.43533,52.3486,538447.963949,5195462032.49791,538447.963948904
380,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.7486,61276.3282102,112187962.604439,61276.3282101784
